"id","prolific_id","bg","b","g","none","p_a","p_c","p_na","p_nc","p_c_given_a","p_c_given_na","p_a_given_c","p_a_given_nc","p_nc_given_a","p_nc_given_na","p_na_given_c","p_na_given_nc","p_likely_a","p_likely_na","p_likely_c","p_likely_nc"
"independent_ul","5f354e9b80fd884dda24535b",0.499999000004,0.499999000004,9.99996000016e-07,9.99996000016e-07,0.999998000008,0.5,1.999992000032e-06,0.5,0.5,0.5,0.999998000008,0.999998000008,0.5,0.5,1.999992000032e-06,1.999992000032e-06,0.999998000008,1.999992000032e-06,0.5,0.5
"if2_hl","5f354e9b80fd884dda24535b",0.999997000012,9.99996000016e-07,9.99996000016e-07,9.99996000016e-07,0.999998000008,0.999998000008,1.999992000032e-06,1.999992000032e-06,0.999999000002,0.5,0.999999000002,0.5,9.99998000004e-07,0.5,9.99998000004e-07,0.5,0.999998000008,1.999992000032e-06,0.999998000008,1.999992000032e-06
"if1_uh","5f354e9b80fd884dda24535b",0.8999974000104,9.99996000016e-07,9.99996000016e-07,0.1000005999976,0.8999984000064,0.8999984000064,0.1000015999936,0.1000015999936,0.999998888891358,9.99980000399992e-06,0.999998888891358,9.99980000399992e-06,1.1111086419808e-06,0.999990000199996,1.1111086419808e-06,0.999990000199996,0.8999984000064,0.1000015999936,0.8999984000064,0.1000015999936
"independent_ll","5f354e9b80fd884dda24535b",9.99996000016e-07,9.99996000016e-07,0.499999000004,0.499999000004,1.999992000032e-06,0.5,0.999998000008,0.5,0.5,0.5,1.999992000032e-06,1.999992000032e-06,0.5,0.5,0.999998000008,0.999998000008,1.999992000032e-06,0.999998000008,0.5,0.5
"if1_lh","5fb01a5f4ab51d370112332c",0.36999952000192,0.55999876000496,0.07000071999712,9.99996000016e-07,0.92999828000688,0.44000023999904,0.07000171999312,0.55999976000096,0.397849682043694,0.999985714693866,0.840907541329358,0.999998214292092,0.602150317956305,1.42853061341105e-05,0.159092458670642,1.78570790818604e-06,0.92999828000688,0.07000171999312,0.44000023999904,0.55999976000096
"if2_ul","5fb01a5f4ab51d370112332c",0.08000067999728,0.48999904000384,0.41999932000272,0.01000095999616,0.56999972000112,0.5,0.43000027999888,0.5,0.140352139115301,0.976741968642006,0.16000135999456,0.97999808000768,0.859647860884699,0.0232580313579937,0.83999864000544,0.02000191999232,0.56999972000112,0.43000027999888,0.5,0.5
"independent_ul","5fb01a5f4ab51d370112332c",0.26999992000032,0.2999998000008,0.19000023999904,0.24000003999984,0.56999972000112,0.46000015999936,0.43000027999888,0.53999984000064,0.473684302862095,0.441860735531463,0.586956143668941,0.555555349795001,0.526315697137905,0.558139264468537,0.413043856331059,0.444444650204999,0.56999972000112,0.43000027999888,0.46000015999936,0.53999984000064
"if2_ll","5fb01a5f4ab51d370112332c",0.95999716001136,9.99996000016e-07,0.04000083999664,9.99996000016e-07,0.95999816000736,0.999998000008,0.04000183999264,1.999992000032e-06,0.999998958335503,0.999975001249938,0.95999908000184,0.5,1.0416644965323e-06,2.49987500624969e-05,0.04000091999816,0.5,0.95999816000736,0.04000183999264,0.999998000008,1.999992000032e-06
"independent_ll","5fb01a5f4ab51d370112332c",0.22000011999952,0.22000011999952,0.27999988000048,0.27999988000048,0.44000023999904,0.5,0.55999976000096,0.5,0.5,0.5,0.44000023999904,0.44000023999904,0.5,0.5,0.55999976000096,0.55999976000096,0.44000023999904,0.55999976000096,0.5,0.5
"if1_uh","5fb01a5f4ab51d370112332c",0.323232027345344,0.272727180900279,0.24242427303324,0.161616518721136,0.595959208245623,0.565656300378584,0.404040791754377,0.434343699621416,0.542372737719533,0.5999995000025,0.571428316327442,0.627906381830782,0.457627262280467,0.4000004999975,0.428571683672558,0.372093618169218,0.595959208245623,0.404040791754377,0.565656300378584,0.434343699621416
"independent_uh","5fb01a5f4ab51d370112332c",0.27999988000048,0.33999964000144,0.19000023999904,0.19000023999904,0.61999952000192,0.47000011999952,0.38000047999808,0.52999988000048,0.451613059312712,0.5,0.595744273428624,0.641508899966415,0.548386940687288,0.5,0.404255726571376,0.358491100033585,0.61999952000192,0.38000047999808,0.47000011999952,0.52999988000048
"if2_hl","5fb01a5f4ab51d370112332c",0.31999972000112,0.08000067999728,0.27999988000048,0.31999972000112,0.4000003999984,0.5999996000016,0.5999996000016,0.4000003999984,0.7999985000075,0.466666777777407,0.533333222222592,0.2000014999925,0.2000014999925,0.533333222222592,0.466666777777407,0.7999985000075,0.4000003999984,0.5999996000016,0.5999996000016,0.4000003999984
"if1_u-Lh","5fb01a5f4ab51d370112332c",0.32999968000128,0.04000083999664,0.19000023999904,0.43999924000304,0.37000051999792,0.51999992000032,0.62999948000208,0.48000007999968,0.891889773568792,0.301587931466884,0.634614866865897,0.0833350694372107,0.108110226431208,0.698412068533116,0.365385133134103,0.916664930562789,0.37000051999792,0.62999948000208,0.51999992000032,0.48000007999968
"independent_hl","5fb01a5f4ab51d370112332c",0.03000087999648,0.23000007999968,0.31999972000112,0.41999932000272,0.26000095999616,0.3500005999976,0.73999904000384,0.6499994000024,0.115387573941739,0.432432615046986,0.0857166530476969,0.353846603548912,0.884612426058261,0.567567384953014,0.914283346952303,0.646153396451088,0.26000095999616,0.73999904000384,0.3500005999976,0.6499994000024
"if1_hh","5fb01a5f4ab51d370112332c",0.3499996000016,0.01000095999616,0.08000067999728,0.55999876000496,0.36000055999776,0.43000027999888,0.63999944000224,0.56999972000112,0.972219598780007,0.125001171871338,0.813952028130102,0.0175455524717457,0.0277804012199932,0.874998828128662,0.186047971869898,0.982454447528254,0.36000055999776,0.63999944000224,0.43000027999888,0.56999972000112
"if2_u-Ll","5fb01a5f4ab51d370112332c",0.326732369376755,0.277227614940139,0.0396047936443816,0.356435222038725,0.603959984316894,0.366337163021137,0.396040015683106,0.633662836978863,0.540983472185337,0.10000199999,0.891889773568792,0.43750019531189,0.459016527814663,0.89999800001,0.108110226431208,0.56249980468811,0.603959984316894,0.396040015683106,0.366337163021137,0.633662836978863
"independent_hh","5fb01a5f4ab51d370112332c",0.405939976475341,0.46534568179928,0.108911449855644,0.0198028918697352,0.871285658274621,0.514851426330985,0.128714341725379,0.485148573669015,0.465909168388254,0.846148520791988,0.78846042899835,0.959181799257962,0.534090831611746,0.153851479208012,0.21153957100165,0.0408182007420378,0.871285658274621,0.128714341725379,0.514851426330985,0.485148573669015
"if2_ll","5e64ce85ef80c6245d49dee8",9.99996000016e-07,0.42999928000288,9.99996000016e-07,0.56999872000512,0.43000027999888,1.999992000032e-06,0.56999972000112,0.999998000008,2.32557057874149e-06,1.75437980919365e-06,0.5,0.43000013999972,0.999997674429421,0.999998245620191,0.5,0.56999986000028,0.43000027999888,0.56999972000112,1.999992000032e-06,0.999998000008
"if1_u-Lh","5e64ce85ef80c6245d49dee8",0.35999956000176,9.99996000016e-07,9.99996000016e-07,0.63999844000624,0.36000055999776,0.36000055999776,0.63999944000224,0.63999944000224,0.999997222237654,1.56249511720276e-06,0.999997222237654,1.56249511720276e-06,2.77776234576475e-06,0.999998437504883,2.77776234576475e-06,0.999998437504883,0.36000055999776,0.63999944000224,0.36000055999776,0.63999944000224
"independent_uh","5e64ce85ef80c6245d49dee8",0.386138074700694,9.90095088732322e-07,0.455444730911957,0.15841620429226,0.386139064795783,0.841582805612651,0.613860935204217,0.158417194387349,0.999997435910585,0.741934703436441,0.45882362629735,6.24992187597655e-06,2.56408941492608e-06,0.258065296563559,0.54117637370265,0.999993750078124,0.386139064795783,0.613860935204217,0.841582805612651,0.158417194387349
"if1_hh","5e64ce85ef80c6245d49dee8",0.68999824000704,0.30999976000096,9.99996000016e-07,9.99996000016e-07,0.999998000008,0.68999924000304,1.999992000032e-06,0.31000075999696,0.68999962000076,0.5,0.999998550728838,0.99999677421436,0.31000037999924,0.5,1.44927116153287e-06,3.22578564009264e-06,0.999998000008,1.999992000032e-06,0.68999924000304,0.31000075999696
"independent_hh","5e64ce85ef80c6245d49dee8",0.999997000012,9.99996000016e-07,9.99996000016e-07,9.99996000016e-07,0.999998000008,0.999998000008,1.999992000032e-06,1.999992000032e-06,0.999999000002,0.5,0.999999000002,0.5,9.99998000004e-07,0.5,9.99998000004e-07,0.5,0.999998000008,1.999992000032e-06,0.999998000008,1.999992000032e-06
"if2_u-Ll","5e64ce85ef80c6245d49dee8",9.99996000016e-07,9.99996000016e-07,9.99996000016e-07,0.999997000012,1.999992000032e-06,1.999992000032e-06,0.999998000008,0.999998000008,0.5,9.99998000004e-07,0.5,9.99998000004e-07,0.5,0.999999000002,0.5,0.999999000002,1.999992000032e-06,0.999998000008,1.999992000032e-06,0.999998000008
"independent_hl","5e64ce85ef80c6245d49dee8",0.09000063999744,0.90999736001056,9.99996000016e-07,9.99996000016e-07,0.999998000008,0.09000163999344,1.999992000032e-06,0.90999836000656,0.09000081999836,0.5,0.999988889135797,0.999998901101316,0.90999918000164,0.5,1.11108642030177e-05,1.09889868373916e-06,0.999998000008,1.999992000032e-06,0.09000163999344,0.90999836000656
"if1_lh","5e64ce85ef80c6245d49dee8",9.99996000016e-07,9.99996000016e-07,9.99996000016e-07,0.999997000012,1.999992000032e-06,1.999992000032e-06,0.999998000008,0.999998000008,0.5,9.99998000004e-07,0.5,9.99998000004e-07,0.5,0.999999000002,0.5,0.999999000002,1.999992000032e-06,0.999998000008,1.999992000032e-06,0.999998000008
"if2_ul","5e64ce85ef80c6245d49dee8",9.99996000016e-07,0.35999956000176,0.26999992000032,0.36999952000192,0.36000055999776,0.27000091999632,0.63999944000224,0.72999908000368,2.77776234576475e-06,0.421875244139862,3.70367626906467e-06,0.493150703696702,0.999997222237654,0.578124755860138,0.999996296323731,0.506849296303298,0.36000055999776,0.63999944000224,0.27000091999632,0.72999908000368
"independent_ul","5e64ce85ef80c6245d49dee8",9.99996000016e-07,0.14000043999824,0.50999896000416,0.3499996000016,0.14000143999424,0.50999996000016,0.85999856000576,0.49000003999984,7.14275510349852e-06,0.593023039481304,1.96077662440539e-06,0.285715160346284,0.999992857244897,0.406976960518696,0.999998039223376,0.714284839653716,0.14000143999424,0.85999856000576,0.50999996000016,0.49000003999984
"if2_hl","5e64ce85ef80c6245d49dee8",0.14000043999824,0.57999868000528,0.14000043999824,0.14000043999824,0.71999912000352,0.28000087999648,0.28000087999648,0.71999912000352,0.194445293207519,0.5,0.5,0.805554706792481,0.805554706792481,0.5,0.5,0.194445293207519,0.71999912000352,0.28000087999648,0.28000087999648,0.71999912000352
"if1_uh","5e64ce85ef80c6245d49dee8",0.70999816000736,0.16000035999856,0.13000047999808,9.99996000016e-07,0.86999852000592,0.83999864000544,0.13000147999408,0.16000135999456,0.816091227376489,0.999992307810649,0.845237273244587,0.999993750078124,0.183908772623511,7.69218935093306e-06,0.154762726755412,6.24992187597655e-06,0.86999852000592,0.13000147999408,0.83999864000544,0.16000135999456
"independent_ll","5e64ce85ef80c6245d49dee8",9.99996000016e-07,9.99996000016e-07,0.25,0.749998000008,1.999992000032e-06,0.250000999996,0.999998000008,0.749999000004,0.5,0.250000499999,3.999968000256e-06,1.33332977778726e-06,0.5,0.749999500001,0.999996000032,0.999998666670222,1.999992000032e-06,0.999998000008,0.250000999996,0.749999000004
"if1_hh","599747deb5566b0001aa834c",0.45999916000336,0.42999928000288,0.04000083999664,0.07000071999712,0.88999844000624,0.5,0.11000155999376,0.5,0.516853894710349,0.363638842930128,0.91999832000672,0.85999856000576,0.483146105289651,0.636361157069872,0.08000167999328,0.14000143999424,0.88999844000624,0.11000155999376,0.5,0.5
"if2_u-Ll","599747deb5566b0001aa834c",0.38999944000224,0.0500007999968,0.27999988000048,0.27999988000048,0.44000023999904,0.66999932000272,0.55999976000096,0.33000067999728,0.886361880173272,0.5,0.582089307196098,0.151517263531736,0.113638119826728,0.5,0.417910692803902,0.848482736468264,0.44000023999904,0.55999976000096,0.66999932000272,0.33000067999728
"independent_hl","599747deb5566b0001aa834c",0.03000087999648,0.03000087999648,0.8999974000104,0.04000083999664,0.06000175999296,0.92999828000688,0.93999824000704,0.07000171999312,0.5,0.957445835221627,0.0322590704106013,0.428573469329448,0.5,0.0425541647783728,0.967740929589399,0.571426530670552,0.06000175999296,0.93999824000704,0.92999828000688,0.07000171999312
"if2_hl","599747deb5566b0001aa834c",0.66999832000672,0.25999996000016,0.02000091999632,0.0500007999968,0.92999828000688,0.68999924000304,0.07000171999312,0.31000075999696,0.720429633484659,0.285720407988343,0.971013127498181,0.838707492209728,0.279570366515341,0.714279592011657,0.0289868725018188,0.161292507790272,0.92999828000688,0.07000171999312,0.68999924000304,0.31000075999696
"independent_hh","599747deb5566b0001aa834c",0.45999916000336,0.25,0.24000003999984,0.0500007999968,0.70999916000336,0.6999992000032,0.29000083999664,0.3000007999968,0.647886907360824,0.827583947696912,0.657142408164548,0.833331111125926,0.352113092639176,0.172416052303088,0.342857591835452,0.166668888874074,0.70999916000336,0.29000083999664,0.6999992000032,0.3000007999968
"if1_u-Lh","599747deb5566b0001aa834c",0.2999998000008,0.24000003999984,0.25999996000016,0.2000001999992,0.53999984000064,0.55999976000096,0.46000015999936,0.44000023999904,0.555555349795001,0.565217107751705,0.535714158163721,0.545454338843914,0.444444650204999,0.434782892248295,0.464285841836279,0.454545661156086,0.53999984000064,0.46000015999936,0.55999976000096,0.44000023999904
"independent_uh","599747deb5566b0001aa834c",0.207920958728876,0.346534271151401,0.207920958728876,0.237623811390846,0.554455229880278,0.415841917457753,0.445544770119722,0.584158082542247,0.375000446426977,0.466666814814156,0.5,0.593220022982973,0.624999553573023,0.533333185185844,0.5,0.406779977017027,0.554455229880278,0.445544770119722,0.415841917457753,0.584158082542247
"if2_ll","599747deb5566b0001aa834c",0.21000015999936,0.1000005999976,0.06000075999696,0.62999848000608,0.31000075999696,0.27000091999632,0.68999924000304,0.72999908000368,0.677418210205095,0.0869577189631334,0.777775720179851,0.136987295925217,0.322581789794905,0.913042281036867,0.222224279820149,0.863012704074783,0.31000075999696,0.68999924000304,0.27000091999632,0.72999908000368
"if1_uh","599747deb5566b0001aa834c",0.386138074700694,0.0891095480809977,0.138614302517614,0.386138074700694,0.475247622781692,0.524752377218308,0.524752377218308,0.475247622781692,0.812498697922092,0.264151833389308,0.735848166610692,0.187501302077908,0.187501302077908,0.735848166610692,0.264151833389308,0.812498697922092,0.475247622781692,0.524752377218308,0.524752377218308,0.475247622781692
"independent_ul","599747deb5566b0001aa834c",0.13000047999808,0.12000051999792,0.40999936000256,0.33999964000144,0.250000999996,0.53999984000064,0.749999000004,0.46000015999936,0.51999984000128,0.546666542222554,0.240741700956663,0.260870604910413,0.48000015999872,0.453333457777446,0.759258299043337,0.739129395089587,0.250000999996,0.749999000004,0.53999984000064,0.46000015999936
